animal_name,animal_type,primary_breed,primary_color,sex,animal_size,dob,intake_date,outcome_date,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_cond,outcome_cond,crossing
ROCKY,DOG,SIBERIAN HUSKY,WHITE,N,MED,00:00.0,12/6/2023,12/6/2023,STRAY,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,"3137 W KENTUCKY AVE, DENVER CO 80219"
KUAL,DOG,PIT BULL,WHITE,M,MED,00:00.0,9/25/2023,9/26/2023,OWNER SUR,OTC,EUTH,U/U EQ,AGGRESSIVE,U/U HIS AG,"4334 N ADAMS ST, DENVER CO 80216"
KODA,DOG,SIBERIAN HUSKY,WHITE,S,MED,00:00.0,8/26/2023,8/28/2023,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"4824 CHAMBERS RD, DENVER, CO 80239"
BUDDY,DOG,SIBERIAN HUSKY,RED,N,LARGE,00:00.0,5/21/2023,5/21/2023,STRAY TAGS,DROP BOX,RTO,OFFICE,FEARFUL,NORMAL,"2073 S COLORADO BLVD, DENVER CO 80210"
TAZ,DOG,AM PIT BULL TER,GRAY,N,MED,00:00.0,3/18/2023,3/22/2023,CONFISCATE,OWNER JAIL,RTO,OFFICE,FEARFUL,NORMAL,"1500 7TH ST, DENVER CO 80204"
TAZ,DOG,AM PIT BULL TER,GRAY,N,MED,00:00.0,10/1/2023,10/4/2023,STRAY,FIELD,RTO,OFFICE,NORMAL,INJURED,I-25/UNIVERSITY
TOBY,DOG,SIBERIAN HUSKY,BLACK,N,LARGE,00:00.0,1/24/2023,1/25/2023,STRAY TAGS,DROP BOX,RTO,OFFICE,NORMAL,,"1518 S TENNYSON ST, DENVER CO 80219"
DUKE,DOG,AUST CATTLE DOG,BR BRINDLE,N,MED,00:00.0,4/17/2023,4/17/2023,STRAY TAGS,FIELD,RTO,FIELD,NORMAL,NORMAL,"615 S PATTON CT, DENVER CO 80219"
OREO,DOG,AMER BULLDOG,BLACK,N,LARGE,00:00.0,6/16/2023,6/21/2023,STRAY TAGS,OTC,RTO,EMAIL,NORMAL,NORMAL,"4100 N FEDERAL BLVD, DENVER CO 80211"
BELLA,DOG,AUST CATTLE DOG,TRICOLOR,S,MED,00:00.0,5/18/2023,5/18/2023,STRAY,OTC,RTO,EMAIL,NORMAL,NORMAL,"1301 S TEJON ST, DENVER CO 80223"
BELLA,DOG,AUST CATTLE DOG,TRICOLOR,S,MED,00:00.0,8/22/2023,8/23/2023,STRAY,FIELD,RTO,EMAIL,INJURED,NORMAL,"5141 N CHAMBERS RD, DENVER CO 80239"
BELLA,DOG,AUST CATTLE DOG,TRICOLOR,S,MED,00:00.0,9/5/2023,9/11/2023,STRAY,FIELD,EUTH,,NORMAL,T/M MED MO,"14291 E MAXWELL PL, DENVER CO 80239"
DEACON,DOG,AMER BULLDOG,BROWN,N,LARGE,00:00.0,6/20/2023,6/20/2023,OWNER SUR,OTC,EUTH,,INJURED,CREMATION,"590 W CEDAR AVE, DENVER CO 80223"
DIAMOND,DOG,SIBERIAN HUSKY,GRAY,S,MED,00:00.0,2/1/2023,2/11/2023,OWNER SUR,OTC,ADOPTION,EMAIL,NORMAL,T/M ESCAPE,"1811 W FLORIDA AVE, DENVER CO 80223"
KANGA,DOG,CHIHUAHUA LH,BLACK,S,SMALL,00:00.0,11/4/2023,11/4/2023,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,CREMATION,"7780 E 23RD AVE DENVER,CO80238"
MARSHMALLOW,DOG,MALTESE,WHITE,S,SMALL,00:00.0,9/14/2023,9/14/2023,STRAY TAGS,FIELD,RTO,FIELD,NORMAL,NORMAL,"3385 N DEXTER ST, DENVER CO 80207"
RHUBY,DOG,AUST CATTLE DOG,GRAY,S,LARGE,00:00.0,7/23/2023,7/23/2023,OWNER SUR,OTC,EUTH,U/U EQ,SICK,CREMATION,4550 E CHERRY CREEK DR GLENDALE 80246
BINX,CAT,DOMESTIC SH,BLACK,N,SMALL,00:00.0,10/6/2023,10/13/2023,STRAY,FIELD,ADOPTION,,INJURED,H-HEALTHY,"1300 N MEADE ST, DENVER CO 80204"
ROCCO,DOG,PEKINGESE,TAN,M,SMALL,00:00.0,8/25/2023,8/25/2023,OWNER SUR,OTC,EUTH,U/U EQ,SICK,CREMATION,"1150 N INCA ST, DENVER CO 80204"
CHAVO,DOG,BOXER,BROWN,N,MED,00:00.0,3/9/2023,3/14/2023,OWNER SUR,,ADOPTION,EMAIL,NORMAL,T/M FEARFU,"4601 W 6TH AVE, DENVER CO 80204"
SMOKE,DOG,AMER BULLDOG,WHITE,N,MED,00:00.0,9/27/2023,9/27/2023,PUBLIC SN,OTC,PICK UP SN,,NORMAL,NORMAL,PUBLIC S/N
NINA,DOG,AMER BULLDOG,BROWN,S,LARGE,00:00.0,8/24/2023,8/24/2023,PUBLIC SN,OTC,PICK UP SN,,NORMAL,NORMAL,PUBLIC S/N
BUDDY,CAT,DOMESTIC SH,BLACK,N,SMALL,00:00.0,7/7/2023,7/7/2023,PUBLIC SN,OTC,EUTH,U/U EQ,NORMAL,CREMATION,PUBLIC SN
ZEUS,CAT,DOMESTIC LH,FLAME PT,N,SMALL,00:00.0,2/7/2023,2/7/2023,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,CREMATION,"3170 W ARIZONA AVE, DENVER CO 80219"
BEAN,CAT,DOMESTIC SH,BRN TABBY,N,MED,00:00.0,2/23/2023,2/23/2023,STRAY TAGS,OTC,RTO,EMAIL,NORMAL,NORMAL,"1578 N HUMBOLDT ST, DENVER CO 80218"
APOLLO,DOG,SIBERIAN HUSKY,BLACK,M,LARGE,00:00.0,8/16/2023,8/26/2023,OWNER SUR,OTC,EUTH,U/U EQ,NORMAL,U/U HIS AG,"3006 S SHERIDAN BLVD, DENVER CO 80236"
GUS,CAT,DOMESTIC LH,GRAY,N,MED,00:00.0,12/29/2023,12/30/2023,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"1760 W MEXICO AVE, DENVER CO 80223"
KUSKA,DOG,GERM SHEPHERD,BLACK,F,LARGE,00:00.0,2/26/2023,2/26/2023,STRAY TAGS,FIELD,RTO,FIELD,NORMAL,NORMAL,"10381 E 26TH AVE, DENVER CO 80238"
PERSIA,CAT,SIAMESE,TORTIE PT,S,SMALL,00:00.0,4/13/2023,4/28/2023,STRAY,DROP BOX,ADOPTION,EMAIL,NORMAL,T/M GERAT,"1241 W BAYAUD AVE, DENVER CO 80223"
DOMINO,DOG,AUST CATTLE DOG,BLACK,S,MED,00:00.0,4/15/2023,4/28/2023,STRAY,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"110 S WEIR DR, DENVER CO 80219"
LUCKY,DOG,LABRADOR RETR,BLACK,N,MED,00:00.0,10/2/2023,10/2/2023,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,CREMATION,"724 N KNOX CT, DENVER CO 80204"
ALLEY,CAT,DOMESTIC SH,GRAY TABBY,S,SMALL,00:00.0,2/17/2023,2/23/2023,CONFISCATE,FIELD,RTO,OFFICE,NORMAL,NORMAL,"1632 N YORK ST, DENVER CO 80206"
GUANTES,DOG,BOXER,TRICOLOR,N,SMALL,00:00.0,2/25/2023,3/3/2023,OWNER SUR,OTC,EUTH,,NORMAL,U/U HIS AG,"948 S TENNYSON ST, DENVER CO 80219"
SCRAPPY,DOG,LABRADOR RETR,CHOCOLATE,N,LARGE,00:00.0,1/2/2023,1/3/2023,OWNER SUR,OTC,EUTH,,NORMAL,U/U HIS AG,"12754 LEYDEN ST THORNTON, CO 80602"
BOO BEAR,DOG,POODLE MIN,BLACK,S,SMALL,00:00.0,10/3/2023,10/10/2023,CONFISCATE,FIELD,RTO,EMAIL,NORMAL,H-HEALTHY,"4419 W 13TH AVE, DENVER CO 80204"
BARNEY,DOG,CHIHUAHUA SH,WHITE,M,SMALL,00:00.0,2/11/2023,2/15/2023,STRAY TAGS,FIELD,DISPOSAL,DOA,DEAD,DEAD,"3300 S SHERIDAN BLVD, DENVER CO 80227"
OSITO,DOG,IRISH WOLFHOUND,TAN,N,LARGE,00:00.0,2/17/2023,2/17/2023,OWNER SUR,OTC,EUTH,U/U EQ,AGED,CREMATION,"4184 N SHERIDAN BLVD, DENVER CO 80212"
BELLA,DOG,DACHSHUND,BROWN,S,SMALL,00:00.0,4/7/2023,4/9/2023,OWNER SUR,OTC,EUTH,,AGGRESSIVE,U/U HIS AG,"1575 N PENNSYLVANIA ST, DENVER CO 80203"
BERNIE MAC,DOG,CHIHUAHUA SH,TAN,N,SMALL,00:00.0,8/10/2023,8/24/2023,OWNER SUR,SAFE,RTO,OFFICE,NORMAL,NORMAL,"1241 W BAYAUD AVE, DENVER CO 80223"
PRINCE,DOG,WH TERRIER,TAN,N,SMALL,00:00.0,8/10/2023,8/24/2023,OWNER SUR,SAFE,RTO,OFFICE,NORMAL,NORMAL,"1241 W BAYAUD AVE, DENVER CO 80223"
MARIKO,DOG,GERM SHEPHERD,BROWN,S,LARGE,00:00.0,6/23/2023,6/27/2023,OWNER SUR,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"34504 STANTON DR, GOLDEN, CO 80403"
MARIKO,DOG,GERM SHEPHERD,BROWN,S,LARGE,00:00.0,6/14/2023,6/23/2023,CONFISCATE,FIELD,RTO,OFFICE,NORMAL,NORMAL,"9600 E GIRARD AVE, DENVER CO 80231"
GHOST,DOG,SHIH TZU,BLACK,M,SMALL,00:00.0,7/1/2023,7/1/2023,CONFISCATE,FIELD,RTO,FIELD,NORMAL,NORMAL,"5266 N LISBON ST, DENVER CO 80249"
HACHI,DOG,ALASK MALAMUTE,WHITE,N,LARGE,00:00.0,9/14/2023,9/14/2023,PUBLIC SN,OTC,PICK UP SN,,NORMAL,NORMAL,PUBLIC SN
GRACIE GRACE,DOG,AMER BULLDOG,WHITE,F,LARGE,00:00.0,3/9/2023,3/10/2023,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,MONACO AND MLK JR DR
BELLA,DOG,AUST CATTLE DOG,RED,S,SMALL,00:00.0,9/12/2023,9/26/2023,STRAY TAGS,NIGHT OWN,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"1241 W BAYAUD AVE, DENVER CO 80223"
RUBY,DOG,CANE CORSO,BL BRINDLE,F,LARGE,00:00.0,8/3/2023,8/3/2023,STRAY TAGS,FIELD,RTO,FIELD,NORMAL,NORMAL,"530 N STUART ST, DENVER CO 80204"
OSO,DOG,YORKSHIRE TERR,BROWN,N,SMALL,00:00.0,5/15/2023,6/6/2023,OWNER SUR,OTC,TRANSFER,YORK RES,CRUELTY,U/U AGG,"4661 N ENID WAY, DENVER CO 80239"
ESTER,DOG,CHIHUAHUA SH,WHITE,S,SMALL,00:00.0,5/15/2023,5/30/2023,OWNER SUR,OTC,ADOPTION,EMAIL,NORMAL,T/M FEARFU,"4661 N ENID WAY, DENVER CO 80239"
DOZER,DOG,SCHNAUZER MIN,BLACK,M,SMALL,00:00.0,5/18/2023,5/18/2023,OWNER SUR,OTC,EUTH,U/U EQ,AGED,AGED,"710 S CLINTON ST, DENVER CO 80247"
COSMO,DOG,SIBERIAN HUSKY,BLACK,M,LARGE,00:00.0,1/6/2023,1/6/2023,STRAY,FIELD,RTO,FIELD,NORMAL,NORMAL,"1600 N IRVING ST, DENVER CO 80204"
GUERRO,DOG,POODLE MIN,WHITE,N,TOY,00:00.0,7/14/2023,7/15/2023,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,"1700 S RARITAN ST, DENVER CO 80223"
GUERRO,DOG,POODLE MIN,WHITE,N,TOY,00:00.0,7/16/2023,7/23/2023,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,"1380 W FLORIDA AVE, DENVER CO 80223"
PELUSA,CAT,DOMESTIC SH,WHITE,S,SMALL,00:00.0,10/5/2023,10/6/2023,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"1598 W ALAMEDA AVE, DENVER, CO 80223"
SNOOPY,DOG,LABRADOR RETR,BLACK,M,MED,00:00.0,7/21/2023,7/21/2023,OWNER SUR,OTC,EUTH,U/U EQ,*AGG HIST*,CREMATION,"180 N WOLFF ST, DENVER CO 80219"
MAYLO,DOG,YORKSHIRE TERR,BLACK,N,MED,00:00.0,9/11/2023,9/14/2023,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,T/M MED MO,"5100 N BILLINGS ST, DENVER CO 80239"
MAYLO,DOG,YORKSHIRE TERR,BLACK,N,MED,00:00.0,9/24/2023,9/28/2023,STRAY,FIELD,ADOPTION,EMAIL,NORMAL,T/M ESCAPE,"13163 E 47TH AVE, DENVER CO 80239"
ZEUS,DOG,AM PIT BULL TER,WHITE,N,LARGE,00:00.0,10/5/2023,10/9/2023,STRAY,FIELD,RTO,OFFICE,INJURED,INJURED,"920 S ALCOTT ST, DENVER CO 80219"
BEAR,DOG,BULL TERRIER,BR BRINDLE,S,MED,00:00.0,10/18/2023,1/18/2024,STRAY TAGS,NIGHT OWN,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"1241 W BAYAUD AVE, DENVER CO 80223"
BUTTERMILK,DOG,BICHON FRISE,TAN,S,SMALL,00:00.0,7/20/2023,7/20/2023,STRAY TAGS,FIELD,RTO,FIELD,NORMAL,NORMAL,"8557 E 35TH AVE, DENVER CO 80238"
SNOWBALL,DOG,MALTESE,UNKNOWN,N,SMALL,00:00.0,7/20/2023,7/20/2023,STRAY TAGS,FIELD,RTO,FIELD,NORMAL,NORMAL,"8557 E 35TH AVE, DENVER CO 80238"
CIELO,DOG,AM PIT BULL TER,GRAY,F,LARGE,00:00.0,2/4/2023,2/7/2023,OWNER SUR,OTC,EUTH,,NORMAL,U/U HIS AG,"16082 E 47TH PL, DENVER CO 80239"
BAILEY,DOG,CHIHUAHUA LH,TAN,S,SMALL,00:00.0,2/15/2023,2/15/2023,OWNER SUR,,EUTH,,NORMAL,U/U MED ER,"16082 E 47TH PL, DENVER CO 80239"
HACHI,DOG,SIBERIAN HUSKY,BLACK,S,LARGE,00:00.0,10/5/2023,10/5/2023,STRAY TAGS,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,"1905 S FEDERAL BLVD, DENVER CO 80219"
CANELO,DOG,POODLE MIN,CREAM,N,SMALL,00:00.0,12/28/2023,12/28/2023,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"3800 W ARIZONA AVE, DENVER CO 80219"
KODAK,DOG,GERM SHEPHERD,BROWN,N,LARGE,00:00.0,2/25/2023,4/26/2023,STRAY,OTC,EUTH,,NORMAL,U/U MED SV,"4059 N QUIVAS ST, DENVER CO 80211"
KITA,DOG,SIBERIAN HUSKY,GRAY,S,MED,00:00.0,5/30/2023,5/30/2023,PUBLIC SN,OTC,PICK UP SN,,NORMAL,NORMAL,PUBLIC S/N
KITA,DOG,SIBERIAN HUSKY,GRAY,S,MED,00:00.0,7/11/2023,7/11/2023,PUBLIC SN,OTC,PICK UP SN,,NORMAL,NORMAL,PUBLIC S/N
KITA,DOG,SIBERIAN HUSKY,GRAY,S,MED,00:00.0,8/2/2023,8/2/2023,PUBLIC SN,OTC,PICK UP SN,,NORMAL,NORMAL,PUBLIC S/N
LUNA,DOG,SIBERIAN HUSKY,GRAY,F,MED,00:00.0,9/5/2023,9/5/2023,STRAY,FIELD,RTO,FIELD,NORMAL,NORMAL,"5300 N MEMPHIS ST, DENVER CO 80239"
LOBO,DOG,SIBERIAN HUSKY,BLACK,M,MED,00:00.0,9/5/2023,9/5/2023,STRAY,FIELD,RTO,FIELD,NORMAL,NORMAL,"5300 N MEMPHIS ST, DENVER CO 80239"
MAXI,DOG,SCHNAUZER MIN,GRAY,N,SMALL,00:00.0,1/24/2023,2/4/2023,OWNER SUR,OTC,ADOPTION,EMAIL,NORMAL,T/M FEARFU,"535 S DECATUR ST, DENVER CO 80219"
PONCHO,DOG,CHIHUAHUA SH,BLACK,N,SMALL,00:00.0,4/21/2023,4/21/2023,STRAY,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,"1241 W BAYAUD AVE, DENVER CO 80223"
KODA,DOG,SIBERIAN HUSKY,BLACK,S,LARGE,00:00.0,9/16/2023,9/18/2023,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"2750 W ARCHER PL, DENVER CO 80219"
BELLA,DOG,JACK RUSS TERR,TAN,S,SMALL,00:00.0,2/24/2023,2/24/2023,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"200 S RARITAN ST, DENVER CO 80223"
HADLEY,DOG,POODLE MIN,TAN,N,SMALL,00:00.0,5/5/2023,6/8/2023,CONFISCATE,FIELD,ADOPTION,EMAIL,CRUELTY,T/M MED MO,"21 N HAZEL CT, DENVER CO 80219"
PRECIOUS,DOG,POODLE MIN,WHITE,F,SMALL,00:00.0,5/5/2023,5/14/2023,OWNER SUR,FIELD,TRANSFER,CSDRH,NORMAL,T/M MED MO,"21 N HAZEL CT, DENVER CO 80219"
ROCKY,DOG,SIBERIAN HUSKY,BLACK,N,MED,00:00.0,7/30/2023,8/9/2023,STRAY TAGS,OTC,EUTH,,NORMAL,U/U AGG,"5125 W FLORIDA AVE, DENVER, CO 80219"
SANDY,DOG,SHIH TZU,CREAM,S,SMALL,00:00.0,6/4/2023,6/6/2023,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,MLK & HOLLY ST
PACO,CAT,DOMESTIC MH,BLACK,N,SMALL,00:00.0,4/29/2023,5/14/2023,OWNER SUR,OTC,EUTH,,NORMAL,T/M MED MO,"1155 S HAVANA ST AURORA,CO 80012"
DUKE,DOG,CHIHUAHUA SH,BROWN,N,SMALL,00:00.0,7/2/2023,7/3/2023,STRAY,OTC,RTO,EMAIL,NORMAL,NORMAL,26TH AND SHERIDAN AVE
DUKE,DOG,CHIHUAHUA SH,BROWN,N,SMALL,00:00.0,7/18/2023,7/28/2023,STRAY,OTC,ADOPTION,EMAIL,NORMAL,T/M GERAT,SPEER &29TH AVE DENVER CO
CAVIAR,CAT,DOMESTIC SH,CRM TABBY,N,KITTN,00:00.0,4/19/2023,4/27/2023,OWNER SUR,SAFE,RTO,OFFICE,NORMAL,NORMAL,"3419 N DECATUR ST, DENVER CO 80211"
HARLEY,DOG,LABRADOR RETR,BR BRINDLE,S,MED,00:00.0,7/22/2023,7/24/2023,STRAY,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,FOUND ON MISSISSIPPI AND HURON
ELLIE,DOG,JACK RUSS TERR,BROWN,S,SMALL,00:00.0,3/11/2023,3/11/2023,STRAY,OTC,RTO,OFFICE,INJURED,NORMAL,"8375 E YALE AVE, DENVER, CO 80231"
ABBY,DOG,POODLE MIN,WHITE,F,SMALL,00:00.0,4/1/2023,4/1/2023,STRAY TAGS,FIELD,RTO,FIELD,NORMAL,NORMAL,"1095 N JULIAN ST, DENVER CO 80204"
ROGER,DOG,CHIHUAHUA SH,WHITE,N,SMALL,00:00.0,2/28/2023,3/1/2023,STRAY TAGS,OTC,RTO,EMAIL,NORMAL,NORMAL,4571 WOLFF ST DENVER CO 80212
CHOPPER,DOG,CHIHUAHUA SH,WHITE,N,SMALL,00:00.0,7/20/2023,7/20/2023,OWNER SUR,OTC,EUTH,U/U EQ,AGED,CREMATION,"1864 S BRYANT ST, DENVER CO 80219"
ROMEO,DOG,SHIH TZU,BLACK,M,SMALL,00:00.0,9/3/2023,9/3/2023,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"4995 WORCHESTER ST, DENVER, CO 80239"
BANE,DOG,SIBERIAN HUSKY,BLACK,N,LARGE,00:00.0,9/19/2023,9/25/2023,STRAY,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,"15555 E 53RD AVE, DENVER CO 80239"
PACO,DOG,CHIHUAHUA SH,BLACK,N,TOY,00:00.0,9/23/2023,9/27/2023,OWNER SUR,FIELD,RTO,OFFICE,NORMAL,NORMAL,"3781 E 31ST AVE, DENVER CO 80205"
PRINCESS,DOG,CHINESE SHARPEI,TAN,F,MED,00:00.0,4/25/2023,4/25/2023,STRAY TAGS,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,"4580 N DEARBORN ST, DENVER CO 80239"
LUNA,DOG,PAPILLON,WHITE,S,SMALL,00:00.0,5/31/2023,6/1/2023,FOSTER IN,OTC,ADOPTION,EMAIL,NORMAL,T/M MED MO,FOSTER IN
LUNA,DOG,PAPILLON,WHITE,S,SMALL,00:00.0,4/19/2023,4/29/2023,OWNER SUR,NONCONFIRM,FOSTER,,NORMAL,T/M FEARFU,"12565 E ALBROOK DR, DENVER CO 80239"
CHANCE,DOG,GERM SHEPHERD,BROWN,N,LARGE,00:00.0,3/29/2023,3/30/2023,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"4400 N FEDERAL BLVD, DENVER CO 80211"
SUMMER,DOG,GERM SHEPHERD,TAN,S,LARGE,00:00.0,9/2/2023,9/2/2023,PUBLIC SN,OTC,PICK UP SN,,NORMAL,NORMAL,PUBLIC S/N
LITTLE BIT,CAT,DOMESTIC SH,BRN TABBY,S,MED,00:00.0,2/11/2023,2/11/2023,STRAY,DROP BOX,EUTH,,NORMAL,,"1241 W BAYAUD AVE, DENVER CO 80223"
MANGO,DOG,MALTESE,APRICOT,S,SMALL,00:00.0,10/6/2023,10/13/2023,STRAY TAGS,DROP BOX,ADOPTION,EMAIL,NORMAL,H-HEALTHY,2235 W ALAMEDA AVE
HAZEL,DOG,SIBERIAN HUSKY,BROWN,N,LARGE,00:00.0,10/4/2023,11/6/2023,STRAY,DROP BOX,ADOPTION,EMAIL,NORMAL,U/U HIS AG,"1359 S DECATUR ST, DENVER CO 80219"
HAZEL,DOG,SIBERIAN HUSKY,BROWN,N,LARGE,00:00.0,5/10/2023,5/13/2023,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,"1293 S ALCOTT ST, DENVER CO 80219"
SMOKEY,DOG,LABRADOR RETR,BLACK,N,LARGE,00:00.0,3/5/2023,3/6/2023,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,"2010 W EVANS AVE, ENGLEWOOD, CO 80110"
CODY,DOG,CHIHUAHUA SH,TRICOLOR,N,SMALL,00:00.0,12/6/2023,12/6/2023,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,CREMATION,"155 S XAVIER ST, DENVER CO 80219"
GEM,DOG,AM PIT BULL TER,WHITE,S,MED,00:00.0,1/23/2023,1/24/2023,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"1967 S BROADWAY, DENVER CO 80223"
GEM,DOG,AM PIT BULL TER,WHITE,S,MED,00:00.0,6/2/2023,6/5/2023,STRAY TAGS,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,"1241 W BAYAUD AVE, DENVER CO 80223"
GEM,DOG,AM PIT BULL TER,WHITE,S,MED,00:00.0,6/23/2023,6/24/2023,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"323 S BROADWAY, DENVER CO 80223"
PRINCESS,DOG,MIN PINSCHER,BLACK,S,SMALL,00:00.0,8/11/2023,8/11/2023,PUBLIC SN,OTC,PICK UP SN,,NORMAL,NORMAL,PUBLIC S/N
LUNA,DOG,CHIHUAHUA SH,BLACK,S,SMALL,00:00.0,9/13/2023,9/14/2023,PUBLIC SN,OTC,PICK UP SN,,NORMAL,NORMAL,PUBLIC S/N
LUNA,DOG,CHIHUAHUA SH,BLACK,S,SMALL,00:00.0,1/22/2023,1/23/2023,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,,"4329 W NEVADA PL, DENVER CO 80219"
DOGER,DOG,GOLDEN RETR,GOLD,N,LARGE,00:00.0,10/20/2023,10/23/2023,STRAY TAGS,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,"3600 W MISSISSIPPI AVE, DENVER CO 80219"
PRINCESS,DOG,SCHNAUZER MIN,GRAY,S,MED,00:00.0,4/1/2023,4/2/2023,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,"2773 S ZENOBIA ST, DENVER CO 80236"
CHESTER,DOG,SCHNAUZER MIN,GRAY,N,MED,00:00.0,4/1/2023,4/2/2023,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,"2773 S ZENOBIA ST, DENVER CO 80236"
EVIE,DOG,SIBERIAN HUSKY,WHITE,S,LARGE,00:00.0,8/30/2023,8/31/2023,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,"3879 N INCA ST, DENVER CO 80211"
EVIE,DOG,SIBERIAN HUSKY,WHITE,S,LARGE,00:00.0,8/17/2023,8/21/2023,STRAY,DROP BOX,RTO,OFFICE,NORMAL,T/M GERAT,"1717 W 38TH AVE, DENVER CO 80211"
YANKO,DOG,SIBERIAN HUSKY,GRAY,M,SMALL,00:00.0,2/2/2023,2/2/2023,STRAY,FIELD,RTO,FIELD,NORMAL,NORMAL,"5558 N XAPARY WAY, DENVER CO 80239"
FINO,DOG,BELG MALINOIS,BROWN,M,LARGE,00:00.0,7/15/2023,7/19/2023,OWNER SUR,OTC,EUTH,,NORMAL,U/U MED ER,"134 S ALCOTT ST, DENVER CO 80223"
ROSIE,DOG,ENG BULLDOG,WHITE,S,MED,00:00.0,7/23/2023,7/24/2023,STRAY,FIELD,RTO,OFFICE,NORMAL,NORMAL,"5516 N CRYSTAL WAY, DENVER CO 80239"
MAX,DOG,SIBERIAN HUSKY,TRICOLOR,N,LARGE,00:00.0,6/13/2023,6/22/2023,STRAY,OTC,ADOPTION,EMAIL,NORMAL,T/M FEARFU,"1458 S YATES ST, DENVER CO 80219"
PATCHES,DOG,AUST CATTLE DOG,TRICOLOR,N,MED,00:00.0,5/12/2023,5/12/2023,PUBLIC SN,OTC,PICK UP SN,,NORMAL,,PUBLIC SN
PATCHES,DOG,AUST CATTLE DOG,TRICOLOR,N,MED,00:00.0,4/29/2023,4/30/2023,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"2690 W MISSISSIPPI AVE DENVER, CO 80219"
PATCHES,DOG,AUST CATTLE DOG,TRICOLOR,N,MED,00:00.0,9/30/2023,10/4/2023,ADOPT RET,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,3650 S. BROADWAY ENGLEWOOD 80113
PATCHES,DOG,AUST CATTLE DOG,TRICOLOR,N,MED,00:00.0,9/13/2023,9/19/2023,STRAY TAGS,FIELD,ADOPTION,EMAIL,NORMAL,H-HEALTHY,0 I-25 / ALAMEDA
FIONA,DOG,BOXER,BR BRINDLE,S,LARGE,00:00.0,5/3/2023,5/4/2023,FOSTER IN,OTC,MISSING,,NORMAL,H-HEALTHY,"2745 S KNOX CT, DENVER CO, 80236"
FIONA,DOG,BOXER,BR BRINDLE,S,LARGE,00:00.0,5/26/2023,5/27/2023,STRAY TAGS,FIELD,EUTH,,INJURED,U/U MED SV,"2334 S GALAPAGO ST, DENVER CO 80223"
FIONA,DOG,BOXER,BR BRINDLE,S,LARGE,00:00.0,4/1/2023,4/8/2023,FOSTER IN,OTC,FOSTER,,NORMAL,T/M FEARFU,"4601 W 6TH AVE, DENVER CO 80204"
FIONA,DOG,BOXER,BR BRINDLE,S,LARGE,00:00.0,3/9/2023,3/30/2023,OWNER SUR,,FOSTER,,NORMAL,T/M FEARFU,"4601 W 6TH AVE, DENVER CO 80204"
KHALEESI,DOG,AM PIT BULL TER,GRAY,S,LARGE,00:00.0,9/25/2023,10/2/2023,STRAY TAGS,DROP BOX,RTO,OFFICE,NORMAL,H-HEALTHY,"5600 N BUCKLEY RD, DENVER CO 80249"
